iobs,ca,start_time,int_lo_code,int_area,c1_1,c1_2,c1_3,c1_4,c1_5,c1_6,c2,c2a,c3,c4,c5,c6,c7,c8,c9_1,c9_2,c9_3,c9_4,c9_5,c9_6,c9_7,c9_8,c9_9,c9_10,c10,c11,c12,c13,c14,c15,c16,c18,c19_1,c19_2,c19_3,c19_4,c19_5,c19_6,c19_7,c19_8,c19_9,c19_10,c19_11,c19_12,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58_1,c58_2,c58_3,c58_4,c58_5,c59,c60,c61,c62,C67,c71,c73
1,1,1300,1020,5,1,0,0,0,0,0,10,1,1, ,1,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,3, , , , , , ,0,1,1,5,0,0,0,0,1,1,1,3, ,PR7 ,1,1305
2,1,1250,1020,5,1,1,0,0,0,0,10,1,1, ,4,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , ,3,2,8,1,40,1,3, , , , , , ,0,1,1,1,0,0,0,0,1,1,1,1, ,LE9 ,1,1255
3,1,1245,1020,5,1,0,0,0,0,0,10,1,2, ,13,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , ,3,2,30,1,40,1,3, , , , , , ,0,1,1,11,0,0,0,0,1,1,2,1, ,G64 ,1,1250
4,1,1240,1020,5,1,0,0,0,0,0,10,1,1, ,3,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , ,5,4,30,1,40,1,3, , , , , , ,0,1,1,5,1,0,0,0,0,1,1,1, ,M33 ,3,1245
5,1,1225,1020,5,1,0,0,0,0,0,10,1,1, ,4,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , ,5,4,35,1,20,1,3, , , , , , ,20,1,1,7,1,0,0,0,0,2,1,1, ,BL0 ,1,1230
6,1,1215,1020,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,1,50,1,3, , , , , , ,50,1,1,11,0,0,0,0,1,1,1,1, ,NE4 ,1,1220
7,1,1150,1020,5,1,0,0,0,0,0,8,1,1, ,6,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , ,4,3,45,1,35,1,3, , , , , , ,0,1,1,2,0,0,0,0,1,1,1,1, ,SW15,1,1155
8,1,1140,1020,5,1,0,0,0,0,0,10,1,1, ,5,1,1,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , ,1, , , , , , , , , ,0,4,3,20,1,50,1,3, , , , , , ,0,1,1,1,1,0,0,0,0,1,1,1, ,DY8 ,1,1145
9,1,1110,1020,5,1,0,0,0,0,0,10,1,1, ,8,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,1,9999,9999,3, , , , , , ,0,1,1,8,0,0,0,0,1,2,1,1, ,BB7 ,1,1115
10,1,1055,1020,5,1,0,0,0,0,0,10,1,1, ,3,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , ,3,2,60,1,0,0,3, , , , , , ,40,1,2,11,0,0,0,0,1,2,1,1, ,NG4 ,1,1100
11,1,1010,1020,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,1,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , ,1, , , , , , , , , ,4,4,13,1,40,1,3, , , , , , ,0,1,2,11,0,0,0,0,1,1,1,1, ,SK4 ,1,1015
12,1,1000,1020,5,1,0,0,0,0,0,10,1,1, ,50,2, ,3, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , ,3,3,9999,9999,9999,9999,3, , , , , , ,10,9999,1,3,0,0,0,0,1,1,2,1, ,RH7 ,3,1005
13,1,935,1020,5,1,0,0,0,0,0,10,1,1, ,4,2, ,2, , , , , , , , , , , , , , , , , ,2,1,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , ,1, , , , , , , , , ,4,3,30,1,25,1,3, , , , , , ,0,0,1,1,1,0,0,0,0,1,1,1, ,WR9 ,2,940
